Index | Identifier
------|-----------
0     | main
1     | f
2     | s
3     | d
4     | c
5     | x
6     | u
7     | l
8     | b
9     | st
10    | i
11    | myVar
12    | abc123
13    | A
14    | z
15    | a
16    | bb
17    | cc
18    | dd
19    | p
20    | q
21    | r
22    | ch1
23    | ch2
24    | ch3
25    | ch4
26    | ch5
27    | ch6
28    | str1
29    | str2
30    | str3
31    | arr
32    | n
33    | ptr
34    | val
35    | res
36    | bit
37    | lg
38    | sh
39    | sh2
40    | cmp
41    | bx
42    | bo
43    | tn
44    | comma_test
